center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
96.450224	47.868984375	3	1628.0	1103.0	1.0575376657606661e-10	8.533386590787728e-09	8.230030822637958e-09
96.550224	52.60190625	5	1830.0	1278.0	1.402044513527101e-08	1.1736161513117293e-08	9.081214039731166e-09
96.650224	54.03111328125	1	1586.0	1062.0	3.4480563010722556e-08	1.1037621313747526e-08	3.259995174489383e-09
96.750224	57.08950866449053	3	1462.0	934.0	2.2392164698231687e-08	1.0945804295748874e-08	4.2407199884120225e-09
96.850224	57.068758474378704	2	1306.0	972.0	1.8078574761377643e-08	7.1334252307564404e-09	1.0750524581080168e-08
96.950224	48.676914409253285	6	1116.0	790.0	1.8487832465760024e-08	1.2826076683920552e-08	6.841873227749762e-09
97.050224	48.77055743672868	1	1065.0	956.0	1.8407792010163292e-08	8.845299532179718e-09	7.888338421527807e-09
97.150224	51.3632643228665	1	1391.0	1126.0	2.880645148750638e-10	1.110292723373818e-08	8.936063061227851e-09
97.250224	50.348619140625	0	1382.0	994.0	2.880645148750638e-10	9.942951326090687e-09	7.911291345293891e-09
97.350224	48.74267502424956	1	1163.0	885.0	2.880645148750638e-10	6.730409909191382e-09	6.397196523869608e-09
97.450224	47.90233775562707	2	1224.0	882.0	1.3757646205414531e-09	7.299687781971986e-09	6.593463868030946e-09
97.550224	46.67332932043824	5	1210.0	1009.0	6.53024589602591e-09	9.552740601023179e-09	1.3922809808991633e-08
97.650224	43.994923870127685	7	771.0	633.0	6.53024589602702e-09	4.11666992941151e-09	6.642666742904258e-09
97.750224	46.95112515763085	8	980.0	771.0	6.53024589602591e-09	1.3425628752324893e-08	2.209616677713244e-08
97.850224	40.19721484375	5	668.0	520.0	5.355215260226531e-09	2.5514345923649538e-09	3.900488635746324e-09
97.950224	46.496816718263744	4	955.0	701.0	2.8805169818846285e-10	3.6823504834815336e-09	4.975166000079634e-09
98.050224	54.32492619855382	4	990.0	723.0	2.880516981895731e-10	8.799987727079462e-09	6.8338723112837395e-09
98.150224	52.050210819744024	0	812.0	662.0	5.378302065317531e-10	6.340232347908925e-09	6.591055562644721e-09
98.250224	54.46436567985358	10	606.0	544.0	6.734290986609714e-10	6.562629521459362e-09	6.246517416295116e-09
98.350224	47.57295783734746	2	438.0	409.0	6.734290986609714e-10	3.874842292189706e-09	2.775039108136035e-09
98.450224	48.84496820045932	0	667.0	697.0	6.734290986609714e-10	4.899108500807659e-09	4.284635276499138e-09
98.550224	59.135756400462874	6	786.0	773.0	6.734290986620816e-10	4.604356308273161e-09	3.52296069591973e-09
98.650224	55.68850340128369	10	736.0	552.0	6.734290986609714e-10	2.3211530503886026e-09	2.883855299469218e-09
98.750224	49.991689453125	1	717.0	453.0	6.734290986609714e-10	1.2761423718554709e-09	1.49757471331613e-09
98.850224	44.7810234375	5	570.0	301.0	6.734290986609714e-10	6.281593705859123e-10	7.877603097261598e-10
98.950224	38.13815358683058	3	557.0	307.0	6.734290986609714e-10	2.376965782191487e-09	9.749774492207041e-10
99.050224	43.277482421875	8	699.0	551.0	6.734290986620816e-10	1.3691992345987725e-09	9.800979473206794e-10
99.150224	40.63398010027187	3	647.0	458.0	6.734290986609714e-10	1.2972341295525158e-09	8.9307404126715e-10
99.250224	39.86557210998595	4	623.0	537.0	6.734290986609714e-10	2.7869972806970898e-09	2.2350703362583603e-09
99.350224	47.98600502589222	13	1361.0	1337.0	6.734290986609714e-10	1.8310469963470633e-08	2.564070299237553e-08
99.450224	50.950663108002544	23	736.0	539.0	6.734290986609714e-10	4.220462331825381e-09	2.9107812802053878e-09
99.550224	47.00444921875	9	781.0	497.0	6.734290986620816e-10	2.0790475088683367e-09	1.1998946700675362e-09
99.650224	45.45150858457681	10	629.0	368.0	6.734290986609714e-10	1.295950721481587e-09	2.6129140165442875e-09
99.750224	43.22745253024193	6	690.0	352.0	6.734290986609714e-10	8.464020259812966e-10	2.5142737278904815e-09
99.850224	46.395154296875	11	677.0	442.0	6.734290986609714e-10	2.682390267629842e-09	6.0657126154672895e-09
99.950224	42.49679893313172	10	943.0	754.0	6.734290986620816e-10	6.0064145519933555e-09	5.803530112663546e-09
100.050224	44.560146484375	3	654.0	445.0	6.734290986609714e-10	1.2523289641275248e-09	2.7836737127318045e-09
100.150224	43.09897265625	3	561.0	359.0	6.734290986609714e-10	3.1603320489692612e-09	1.268438303705377e-09
100.250224	44.438291015625	6	433.0	391.0	6.734290986609714e-10	2.3572805296845357e-09	1.5558234312162966e-09
100.350224	41.436212890625	2	379.0	348.0	6.734290986609714e-10	2.073661479143896e-09	2.0414931227263898e-09
100.450224	43.165219005694844	5	253.0	238.0	6.734290986620816e-10	1.2501867253955633e-09	3.1477121010259347e-09
100.550224	42.14019586031257	8	432.0	363.0	6.734290986609714e-10	3.5253709120064423e-09	3.7439760821045274e-09
100.650224	44.693521612162186	6	479.0	412.0	6.734290986609714e-10	1.308992376289897e-09	2.5931464681094862e-09
100.750224	42.98062986276576	4	593.0	441.0	6.734290986609714e-10	2.4698036871972916e-09	4.921288555830294e-09
100.850224	41.6871865234375	2	396.0	381.0	6.734290986609714e-10	1.319052385271302e-09	7.421719882128031e-10
100.950224	44.71678484313905	1	657.0	591.0	6.734290986620816e-10	2.1222577045076907e-09	2.4225431177260503e-09
101.050224	43.28438591401668	2	657.0	491.0	6.734290986609714e-10	2.0004053305944238e-09	2.3008279015968026e-09
101.150224	43.58080078125	5	556.0	563.0	6.734290986609714e-10	1.986417805286411e-09	4.07354599332721e-09
101.250224	42.90424075028089	3	661.0	513.0	6.734290986609714e-10	5.7923190685083e-09	6.870844681483579e-09
101.350224	46.38908827727884	8	805.0	633.0	6.734290986609714e-10	6.059323241265346e-09	7.1141542660646536e-09
101.450224	43.71248952132209	22	602.0	466.0	6.734290986620816e-10	1.5002677806674746e-09	1.864022847833935e-09
